"id","title","authors","published","primary_category","url"
"2407.15711","AssistantBench: Can Web Agents Solve Realistic and Time-Consuming Tasks?","Ori Yoran; Samuel Joseph Amouyal; Chaitanya Malaviya; Ben Bogin; Ofir Press; Jonathan Berant","2024-07-22","cs.CL","https://arxiv.org/abs/2407.15711"
"2407.20183","MindSearch: Mimicking Human Minds Elicits Deep AI Searcher","Zehui Chen; Kuikun Liu; Qiuchen Wang; Jiangning Liu; Wenwei Zhang; Kai Chen; Feng Zhao","2024-07-30","cs.CL","https://arxiv.org/abs/2407.20183"
"2408.08067","RAGChecker: A Fine-grained Framework for Diagnosing Retrieval-Augmented Generation","Dongyu Ru; Lin Qiu; Xiangkun Hu; Tianhang Zhang; Peng Shi; Shuaichen Chang; Cheng Jiayang; Cunxiang Wang; Shichao Sun; Huanyu Li; Zizhao Zhang; Binjie Wang; Jiarong Jiang; Tong He; Zhiguo Wang; Pengfei Liu; Yue Zhang; Zheng Zhang","2024-08-15","cs.CL","https://arxiv.org/abs/2408.08067"
"2409.12959","MMSearch: Benchmarking the Potential of Large Models as Multi-modal Search Engines","Dongzhi Jiang; Renrui Zhang; Ziyu Guo; Yanmin Wu; Jiayi Lei; Pengshuo Qiu; Pan Lu; Zehui Chen; Chaoyou Fu; Guanglu Song; Peng Gao; Yu Liu; Chunyuan Li; Hongsheng Li","2024-09-20","cs.CV","https://arxiv.org/abs/2409.12959"
"2410.04616","Can LLMs Improve Multimodal Fact-Checking by Asking Relevant Questions?","Alimohammad Beigi; Bohan Jiang; Dawei Li; Zhen Tan; Pouya Shaeri; Tharindu Kumarage; Amrita Bhattacharjee; Huan Liu","2024-10-07","cs.CL","https://arxiv.org/abs/2410.04616"
"2412.10510","DEFAME: Dynamic Evidence-based FAct-checking with Multimodal Experts","Tobias Braun; Mark Rothermel; Marcus Rohrbach; Anna Rohrbach","2024-12-14","cs.CV","https://arxiv.org/abs/2412.10510"
"2501.05366","Search-o1: Agentic Search-Enhanced Large Reasoning Models","Xiaoxi Li; Guanting Dong; Jiajie Jin; Yuyao Zhang; Yujia Zhou; Yutao Zhu; Peitian Zhang; Zhicheng Dou","2025-01-10","cs.AI","https://arxiv.org/abs/2501.05366"
"2501.07572","WebWalker: Benchmarking LLMs in Web Traversal","Jialong Wu; Wenbiao Yin; Yong Jiang; Zhenglin Wang; Zekun Xi; Runnan Fang; Linhai Zhang; Yulan He; Deyu Zhou; Pengjun Xie; Fei Huang","2025-01-14","cs.CL","https://arxiv.org/abs/2501.07572"
"2503.05592","R1-Searcher: Incentivizing the Search Capability in LLMs via Reinforcement Learning","Huatong Song; Jinhao Jiang; Yingqian Min; Jie Chen; Zhipeng Chen; Wayne Xin Zhao; Lei Fang; Ji-Rong Wen","2025-03-08","cs.AI","https://arxiv.org/abs/2503.05592"
"2503.09516","Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning","Bowen Jin; Hansi Zeng; Zhenrui Yue; Jinsung Yoon; Sercan Arik; Dong Wang; Hamed Zamani; Jiawei Han","2025-03-13","cs.CL","https://arxiv.org/abs/2503.09516"
"2503.19470","ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning","Mingyang Chen; Linzhuang Sun; Tianpeng Li; Haoze Sun; Yijie Zhou; Chenzheng Zhu; Haofen Wang; Jeff Z. Pan; Wen Zhang; Huajun Chen; Fan Yang; Zenan Zhou; Weipeng Chen","2025-03-25","cs.AI","https://arxiv.org/abs/2503.19470"
"2504.03160","DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments","Yuxiang Zheng; Dayuan Fu; Xiangkun Hu; Xiaojie Cai; Lyumanshan Ye; Pengrui Lu; Pengfei Liu","2025-04-04","cs.AI","https://arxiv.org/abs/2504.03160"
"2504.12516","BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents","Jason Wei; Zhiqing Sun; Spencer Papay; Scott McKinney; Jeffrey Han; Isa Fulford; Hyung Won Chung; Alex Tachard Passos; William Fedus; Amelia Glaese","2025-04-17","cs.CL","https://arxiv.org/abs/2504.12516"
"2504.21776","WebThinker: Empowering Large Reasoning Models with Deep Research Capability","Xiaoxi Li; Jiajie Jin; Guanting Dong; Hongjin Qian; Yongkang Wu; Ji-Rong Wen; Yutao Zhu; Zhicheng Dou","2025-05-01","cs.CL","https://arxiv.org/abs/2504.21776"
"2505.03135","Beyond Retrieval: Improving Evidence Quality for LLM-based Multimodal Fact-Checking","Haoran Ou; Gelei Deng; Xingshuo Han; Jie Zhang; Han Qiu; Shangwei Guo; Tianwei Zhang","2025-05-06","cs.AI","https://arxiv.org/abs/2505.03135"
"2505.17978","AVerImaTeC: A Dataset for Automatic Verification of Image-Text Claims with Evidence from the Web","Rui Cao; Zifeng Ding; Zhijiang Guo; Michael Schlichtkrull; Andreas Vlachos","2025-05-23","cs.CL","https://arxiv.org/abs/2505.17978"
"2505.19253","DeepResearchGym: A Free, Transparent, and Reproducible Evaluation Sandbox for Deep Research","João Coelho; Jingjie Ning; Jingyuan He; Kangrui Mao; Abhijay Paladugu; Pranav Setlur; Jiahe Jin; Jamie Callan; João Magalhães; Bruno Martins; Chenyan Xiong","2025-05-26","cs.IR","https://arxiv.org/abs/2505.19253"
"2505.22648","WebDancer: Towards Autonomous Information Seeking Agency","Jialong Wu; Baixuan Li; Runnan Fang; Wenbiao Yin; Liwen Zhang; Zhengwei Tao; Dingchu Zhang; Zekun Xi; Gang Fu; Yong Jiang; Pengjun Xie; Fei Huang; Jingren Zhou","2025-05-29","cs.CL","https://arxiv.org/abs/2505.22648"
